454,217,272,348,410,448
410,200,219,260,309,352
291,135,155,181,213,237
224,97,126,154,184,196
208,207,240,239,247,240
356,705,691,623,562,496
497,761,731,701,668,621
455,215,274,352,414,452
350,168,185,212,250,284
250,114,139,165,196,212
208,89,120,148,179,188
293,674,580,487,428,371
430,738,729,685,637,577
513,543,553,579,590,578
418,202,224,267,318,362
297,139,158,183,216,241
226,98,128,155,186,198
202,159,206,215,231,228
351,704,691,619,557,490
495,763,737,707,671,623
460,216,285,368,432,467
359,172,188,216,255,291
255,117,141,167,198,215
210,90,119,148,179,188
280,625,541,453,402,351
419,734,724,677,626,566
486,756,735,703,667,617
513,584,583,599,602,585
457,215,287,372,435,469
421,203,224,269,322,366
359,173,187,216,255,291
255,115,141,167,198,215
210,91,120,148,179,189
