315,138,151,203,246,272
299,136,168,214,249,272
375,707,559,466,413,372
265,123,240,23,246,267
292,133,178,222,255,278
361,352,278,281,296,302
334,145,153,215,263,290
314,138,152,205,247,274
297,138,172,216,251,273
292,137,173,215,249,270
287,133,170,210,243,265
291,133,194,243,274,293
295,138,253,310,334,344
291,136,268,322,341,348
283,132,255,305,324,332
275,128,250,299,317,325
270,126,243,291,310,318
260,122,241,292,312,321
261,320,382,370,353,339
312,636,562,475,417,374
356,709,582,476,415,374
363,709,574,472,414,373
368,707,564,469,414,373
371,706,557,464,411,370
370,692,531,442,393,354
369,596,446,381,351,326
359,348,276,280,294,300
334,145,155,216,265,291
315,139,153,206,249,275
299,138,172,217,251,273
293,134,173,215,249,270
263,122,240,287,307,317
259,235,349,364,359,351
313,545,538,480,435,399
368,714,586,480,419,381
310,135,147,200,243,267
272,126,249,298,316,323
372,710,572,475,419,378
295,136,171,215,249,271
266,123,242,289,308,316
259,121,242,294,313,321
367,638,477,400,361,330
344,278,238,248,270,281
273,127,252,305,325,331
276,159,266,310,324,329
271,126,247,295,314,321
370,750,569,473,418,377
293,135,172,216,250,271
265,123,240,287,306,315
371,690,529,440,392,354
351,455,338,310,303,296
270,124,215,263,287,299
274,128,263,320,339,342
371,717,588,484,426,385
306,133,152,204,245,270
294,136,170,214,248,270
290,135,172,215,248,269
261,121,240,287,308,318
370,666,506,422,377,342
290,134,201,250,281,299
317,580,543,475,426,389
364,712,594,490,428,387
313,136,150,204,247,273
275,127,251,300,318,326
374,711,571,474,419,379
295,137,171,215,250,271
261,120,226,269,289,300
361,691,530,439,388,348
279,129,163,206,239,261
268,371,419,398,374,353
349,390,303,291,296,294
286,135,272,332,353,357
379,720,592,488,430,392
372,726,576,476,419,378
295,136,169,213,248,270
373,705,555,462,410,369
370,673,523,436,388,350
293,137,187,233,265,286
301,487,501,457,420,388
292,139,271,327,347,353
381,722,593,490,432,392
311,136,163,212,251,276
265,124,229,274,293,305
363,702,555,460,405,363
281,129,165,208,241,261
282,130,165,205,238,261
262,293,383,383,370,355
365,482,367,335,325,314
294,138,262,321,346,353
375,716,593,489,429,390
373,714,582,480,422,382
300,135,169,215,250,273
295,135,172,216,250,271
266,125,242,289,307,316
373,690,538,448,398,359
291,136,174,218,251,274
290,134,226,280,308,322
352,708,617,522,457,410
384,723,596,492,434,395
316,138,153,206,248,275
276,127,248,297,315,323
269,126,244,292,310,319
263,123,239,286,306,316
258,223,342,360,357,349
367,514,388,346,331,316
352,247,213,243,276,292
289,137,268,321,341,347
379,719,590,487,429,389
307,138,170,216,254,277
299,138,174,217,252,274
269,126,244,291,310,318
376,704,544,455,404,365
288,132,166,207,240,265
270,330,407,399,381,362
364,443,341,319,317,310
