204,85,117,146,178,187
195,81,114,144,180,190
240,463,425,367,337,302
316,688,653,566,501,437
388,722,715,660,604,540
462,752,739,703,662,607
513,706,677,665,648,614
472,225,308,403,467,495
429,200,199,257,321,372
360,172,183,211,252,292
297,140,159,183,216,242
250,112,138,165,196,213
221,100,125,153,184,197
205,87,118,146,178,187
195,82,113,142,175,183
213,308,318,293,286,265
304,682,626,532,467,406
360,711,695,636,580,517
443,744,734,693,648,592
504,752,720,694,665,622
493,389,433,492,529,539
440,205,235,306,370,414
384,185,201,235,281,323
320,150,171,197,232,263
268,121,144,171,203,224
233,103,131,158,189,203
211,91,120,149,180,191
198,87,116,145,177,185
192,160,214,221,235,231
291,674,590,493,431,373
349,703,703,633,569,500
431,740,736,694,646,586
498,765,742,713,679,631
518,563,567,590,599,587
459,216,270,358,425,463
413,200,213,257,311,357
347,167,182,209,248,284
288,133,154,180,212,237
245,111,137,164,194,211
219,96,124,152,183,195
203,86,118,146,178,187
194,82,118,152,186,195
251,516,463,394,357,316
322,693,663,580,516,450
397,726,720,667,613,550
470,754,742,707,666,613
516,685,663,656,643,612
468,214,295,393,459,491
427,199,197,255,318,368
358,172,181,209,250,289
294,138,157,182,214,240
251,168,170,185,209,221
221,97,133,162,193,204
208,89,120,149,182,192
198,83,115,144,176,186
214,304,315,291,284,265
304,683,624,530,466,404
368,710,707,645,585,519
445,746,738,699,653,596
507,760,730,703,673,629
503,434,468,519,549,554
448,209,248,322,387,430
394,191,207,244,292,335
330,156,175,201,238,270
275,125,148,175,207,229
237,106,134,160,191,206
214,92,121,150,182,193
200,85,116,145,176,185
193,120,181,199,219,219
280,668,576,479,419,363
343,703,701,628,562,493
425,738,734,691,642,581
495,767,742,713,679,630
523,616,607,618,619,601
464,214,275,370,438,475
421,201,216,261,317,365
354,170,184,211,251,288
293,137,157,182,215,240
247,112,138,165,196,213
220,97,125,153,184,196
204,86,117,146,178,187
194,81,113,143,177,187
230,411,387,341,319,288
311,684,641,552,488,425
381,718,713,655,597,532
456,752,740,703,659,604
511,730,702,684,660,622
485,311,374,450,502,521
437,204,220,283,348,396
374,180,193,224,268,309
310,147,165,190,224,253
260,119,141,168,199,219
228,101,129,155,187,200
207,88,118,147,179,189
195,81,113,142,174,183
197,202,243,241,249,240
295,676,597,502,440,381
353,706,708,638,574,506
434,741,737,696,649,589
500,759,741,712,679,633
515,531,544,574,589,581
458,215,263,349,416,456
408,197,208,251,304,350
342,164,179,206,244,279
283,130,152,178,210,234
241,108,135,162,193,209
216,93,123,151,183,194
201,85,116,145,177,186
192,81,115,148,183,192
246,502,452,386,351,311
319,690,661,577,512,447
394,723,721,667,612,548
465,761,731,700,660,609
515,711,678,666,648,615
476,247,323,413,474,501
431,201,204,263,327,377
363,174,185,214,256,296
300,140,160,185,218,245
253,114,139,166,197,215
223,97,128,155,186,198
