4141,270,300,282,268
4165,248,213,234,243
4191,271,304,284,270
4215,247,209,231,241
4240,271,308,287,271
4265,247,205,228,240
4290,272,313,289,272
4315,246,201,227,239
4340,273,316,292,274
4365,246,197,224,238
4390,273,320,294,275
4415,245,194,222,236
4440,274,323,296,276
4465,245,191,221,236
4490,274,326,298,277
4514,245,189,219,234
4540,275,328,300,279
4564,245,187,218,234
6212,261,253,254,252
6237,257,261,261,258
6262,261,257,256,254
6287,256,256,259,257
6311,263,261,259,255
6337,255,251,256,256
6362,263,265,261,256
6387,254,247,253,254
6412,264,270,264,258
6436,253,242,251,252
6462,264,274,266,259
6487,253,238,248,251
6511,266,278,269,261
6537,252,233,246,249
6561,266,284,272,262
6587,251,229,243,248
6611,267,288,274,264
6636,250,225,240,247
6662,268,292,277,265
11384,277,332,301,280
11410,251,210,237,248
11436,270,286,272,263
11462,261,263,267,264
11488,259,234,242,246
11514,271,315,297,281
11540,250,189,217,233
11566,277,339,307,284
11592,247,185,217,235
11618,276,327,298,277
11644,253,219,242,250
11670,268,278,267,260
11696,262,270,272,267
11722,258,225,237,242
11748,272,322,301,283
11774,249,185,217,234
11800,277,339,307,284
11826,247,186,219,236
11852,275,321,293,275
11878,254,226,246,253
11904,266,269,262,257
11930,263,278,276,269
11956,256,217,231,239
11982,274,328,304,283
12008,248,184,217,234
12034,278,338,307,284
12060,248,190,222,238
12086,275,315,289,272
12112,255,236,251,256
12138,265,262,258,255
12164,265,286,281,272
12190,254,208,226,237
12216,274,332,305,284
12242,248,184,216,233
12268,278,338,306,283
12294,248,195,226,241
12320,273,307,284,269
12346,257,244,256,258
12372,263,253,253,252
12398,267,294,286,275
12424,253,200,222,235
12450,275,335,306,284
12476,247,183,216,234
12502,277,335,304,282
12528,249,200,230,243
12554,272,297,278,266
12580,259,252,261,261
12606,262,246,248,249
12632,269,303,291,278
