@,0,419,416,402,389,398,#
@,1,402,407,403,371,361,355,#
@,48,393,366,352,342,#
@,147,329,333,339,339,337,#
@,175,315,265,284,295,305,#
@,203,332,370,344,332,323,#
@,231,319,336,338,334,328,#
@,260,302,250,273,285,295,#
@,287,318,342,322,313,307,#
@,316,312,345,339,330,322,#
@,344,292,238,265,278,288,#
@,371,306,315,301,295,292,#
@,400,307,350,337,324,313,#
@,428,284,236,264,276,284,#
@,456,296,290,283,281,281,#
@,484,302,352,332,318,306,#
@,513,279,243,267,276,283,#
@,540,286,265,265,268,271,#
@,568,298,349,325,311,299,#
@,596,277,255,274,280,283,#
@,624,277,242,249,256,262,#
@,653,294,346,319,304,292,#
@,680,275,267,281,284,284,#
@,708,271,223,239,250,258,#
@,737,290,335,309,295,284,#
@,764,275,279,288,287,284,#
@,793,264,212,234,246,255,#
@,821,285,319,296,285,276,#
@,849,276,295,296,292,285,#
@,877,262,210,232,245,255,#
@,905,279,301,281,273,268,#
@,933,277,313,305,296,286,#
@,961,258,205,232,246,255,#
@,990,275,282,269,264,262,#
@,1017,279,325,309,297,286,#
@,1047,262,231,253,262,267,#
@,1076,262,219,229,238,246,#
@,1104,277,313,289,277,267,#
@,1134,275,313,307,298,287,#
@,1163,261,220,246,258,265,#
@,1192,264,224,230,237,245,#
@,1221,278,319,294,280,270,#
@,1251,273,305,303,296,286,#
@,1280,259,213,240,252,260,#
@,1309,264,232,234,239,245,#
@,1338,278,324,298,284,272,#
@,1367,270,295,298,293,285,#
@,1396,257,207,233,247,257,#
@,1425,265,240,239,241,246,#
@,1455,277,326,302,287,274,#
@,1483,269,286,291,288,282,#
@,1513,257,204,229,243,253,#
@,1542,266,249,244,245,247,#
@,1570,277,328,305,290,277,#
