@,0,413,399,383,373,380,#
@,1,384,363,365,#
@,2,365,346,349,348,350,#
@,17,360,369,360,355,351,#
@,47,362,411,393,381,369,#
@,75,348,344,357,359,359,#
@,104,339,295,311,321,330,#
@,135,341,337,327,325,325,#
@,164,342,382,364,351,341,#
@,195,338,371,367,360,351,#
@,225,328,308,325,331,335,#
@,256,320,273,287,297,307,#
@,285,319,306,298,297,299,#
@,316,320,355,337,325,315,#
@,346,319,357,350,341,330,#
@,375,310,301,315,319,320,#
@,406,302,255,272,283,293,#
@,436,301,275,273,276,280,#
@,466,304,332,313,303,295,#
@,496,304,347,336,326,314,#
@,527,297,298,309,311,309,#
@,247,266,276,285,#
@,587,288,254,257,262,268,#
@,617,291,310,294,285,279,#
