@,283,131,151,177,209,233,#
@,242,108,135,162,193,209,#@,216,93,122,151,182,194,#
@,200,85,115,144,176,185,#@,192,98,165,188,212,214,#
@,279,671,575,477,417,360,#@,341,703,702,628,562,492,#
@,425,738,736,693,644,582,#@,494,767,742,713,679,630,#
@,516,571,572,592,601,587,#@,456,208,262,353,422,460,#
@,409,197,208,253,307,354,#@,344,164,178,206,245,281,#
@,284,130,150,176,209,234,#@,242,109,135,162,193,209,#
@,216,93,121,150,181,193,#@,200,84,114,143,176,185,#
@,191,87,145,173,201,206,#@,271,641,552,459,403,349,#
@,336,702,696,619,553,484,#@,418,734,731,687,637,575,#
@,488,764,737,709,674,624,#@,513,577,575,594,601,586,#
@,454,208,262,354,423,460,#@,409,195,207,253,307,354,#
@,344,164,178,206,245,281,#@,285,130,149,175,209,234,#
@,241,109,134,161,192,208,#@,216,94,122,150,182,194,#
@,200,84,113,143,175,185,#@,192,85,138,169,198,204,#
@,267,625,539,449,396,344,#@,334,697,690,613,547,478,#
@,414,731,727,682,632,570,#@,485,762,740,709,673,623,#
@,513,591,587,602,606,589,#@,455,208,265,359,427,464,#
@,410,197,209,255,310,356,#@,346,165,180,208,247,283,#
@,286,130,151,178,211,236,#@,244,109,136,162,193,210,#
@,216,92,122,151,182,194,#@,201,84,114,144,176,185,#
@,192,88,149,176,203,208,#@,273,650,558,463,406,352,#
@,336,702,696,620,554,485,#@,419,737,733,688,638,576,#
@,488,764,738,709,675,625,#@,513,572,572,591,599,585,#
@,453,207,261,353,421,459,#@,408,195,208,253,307,353,#
@,342,163,178,206,245,281,#@,285,128,148,175,208,234,#
@,241,108,134,161,192,208,#@,216,93,122,150,182,193,#
@,201,84,115,144,176,185,#@,192,88,147,175,203,207,#
@,271,643,550,458,403,349,#@,337,637,691,613,547,478,#
@,417,734,731,686,635,572,#@,487,764,737,708,673,623,#
@,510,562,564,586,595,581,#@,451,206,261,351,418,456,#
@,406,194,209,253,306,352,#@,342,164,179,206,245,280,#
@,283,131,151,177,210,234,#@,242,109,136,163,193,209,#
@,216,93,122,151,182,194,#@,201,84,114,144,176,185,#
@,192,104,171,192,215,216,#@,282,674,581,482,421,364,#
@,343,702,703,630,564,495,#@,427,740,734,691,643,582,#
@,494,763,740,711,676,628,#@,512,540,548,576,588,579,#
@,453,207,260,347,414,453,#@,406,195,209,252,305,350,#
@,341,164,178,206,244,279,#@,283,130,148,175,208,233,#
@,241,108,134,161,191,208,#@,216,93,121,150,181,193,#
@,200,84,114,143,175,185,#@,192,114,179,197,219,219,#
@,285,674,583,483,422,365,#@,345,704,703,630,565,495,#
@,426,739,734,692,643,582,#@,494,755,737,708,675,627,#
@,508,518,531,563,579,572,#@,451,207,257,342,408,447,#
@,401,192,208,249,301,346,#@,338,160,177,204,242,277,#
@,279,127,148,175,208,232,#@,239,108,133,160,191,207,#
@,214,90,120,149,181,192,#@,200,84,114,143,175,184,#
@,192,129,191,206,224,223,#@,289,677,589,489,427,369,#
@,347,705,705,632,567,498,#@,428,739,736,694,645,585,#
@,496,755,738,709,676,628,#@,509,510,525,559,577,571,#
@,451,208,257,340,406,446,#@,402,193,209,250,301,346,#
@,337,161,177,204,242,277,#@,280,128,149,175,208,232,#
@,240,107,133,160,191,207,#@,215,92,122,150,181,193,#
@,200,84,114,144,176,185,#@,194,165,216,223,237,232,#
@,294,677,592,495,434,376,#@,351,707,704,633,570,502,#
@,430,739,734,692,645,585,#@,497,763,736,706,674,627,#
@,503,477,500,541,564,562,#@,447,206,252,332,397,438,#
