@,344,148,160,232,282,305,#
@,302,#
@,298,144,266,3,#
@,290,74,215,26,585,435,372,343,319,#
@,282,426,464,432,400,373,#
@,285,136,230,283,#
@,352,318,255,265,285,293,#
@,353,701,603,507,443,398,#
@,286,139,269,326,346,350,#
@,326,142,143,206,255,282,#
@,376,713,587,48,282,136,256,305,323,331,#
@,308,136,150,202,244,270,#
@,373,708,568,376,#
@,270,127,247,293,311,319,#
@,293,139,174,217,250,271,#
@,373,705,559,466,414,374,#
@,266,125,243,290,308,316,#
@,290,136,175,217,249,270,#
@,373,700,549,458,407,367,#
@,262,124,240,287,306,315,#
@,286,135,173,213,244,266,#
@,369,658,499,418,377,244,357,368,361,351,#
@,289,138,200,247,277,296,#
@,365,482,366,331,321,310,#
@,316,582,553,486,58,315,339,347,#
@,342,156,150,208,256,281,#
@,362,422,38,325,332,#
@,311,137,149,202,245,270,#
@,369,709,380,#
@,272,135,255,302,319,326,#
@,298,139,171,274,#
@,375,707,567,472,418,379,#
@,271,1296,314,321,#
@,295,139,177,220,253,274,#
@,376,706,557,267,128,245,291,309,317,#
@,290,138,174,216,249,270,#
@,374,694,534,445,3
@,258,125,251,300,318,324,#
@,287,136,169,266,#
@,364,598,445,377,345,320,#
@,274,396,445,#
@,283,136,222,275,302,315,#
@,352,347,272,274,27,700,610,513,447,401,#
@,289,156,275,333,352,355,#
@,328,143,143,209,#
@,377,715,586,485,427,388,#
@,285,137,257,306,11,138,151,202,245,271,#
@,373,709,572,472,416,377,#
@,272,129,248,290,#
@,295,136,172,215,250,271,#
@,374,705,,413,374,#
@,267,125,243,290,308,316,#
@,290,138,175,269,#
@,373,701,549,458,406,367,#
@,261,124,240,28,285,135,173,213,244,265,#
@,350,541,414,362,337,316,#
@,246,222,314,317,#
@,280,161,170,223,247,265,#
@,340,483,352,315,3
@,289,549,524,460,411,372,#
@,270,126,241,296,32,170,155,204,247,269,#
@,352,700,583,478,416,375,#
@,271,130,254,304,#
@,304,132,143,198,241,265,#
@,363,707,576,474,49,129,249,297,314,321,#
@,295,132,166,212,248,270,#
@,371,706,566,470,#
@,268,127,247,294,312,319,#
@,292,138,1272,#
@,374,703,556,464,413,373,#
@,265,125,243,285,#
@,288,138,174,215,247,268,#
@,373,695,397,359,#
@,257,124,245,296,314,321,#
@,285,132,162,263,#
@,362,603,447,378,344,318,#
@,271,383,438,4
@,284,131,221,274,300,313,#
@,352,355,293,#
@,343,699,610,513,447,400,#
@,286,138,274,#
@,329,144,146,210,260,286,#
@,378,716,587,485,47,307,325,334,#
@,311,137,149,200,244,270,#
@,374,707,569,#
@,271,128,248,294,311,319,#
@,294,137,173,216,#
@,373,705,560,467,414,374,#
@,267,126,2416,#
@,290,138,175,216,249,270,#
@,373,701,550,458,#
@,262,124,241,287,305,314,#
@,286,137,173,214,245,266,#
@,370,667,507,425,380,345,#
@,255,218,340,348,#
@,289,137,192,239,271,290,#
@,366,505,378,33,309,551,536,475,428,391,#
@,289,138,253,309,333,341,#
@,343,185,168,216,260,282,#
@,365,707,589,485,424,385,#
@,281,136,260,31
@,313,138,147,202,246,271,#
@,368,723,560,464,410,373,#
@,270,128,243,290,308,317,#
@,293,134,163,207,243,265,#
@,368,703,564,467,4
@,265,125,243,290,308,315,#
@,289,136,173,215,248,269,#
@,371,701,5551,#
@,264,125,242,289,306,314,#
@,287,133,171,214,#
@,371,617,490,417,377,346,#
@,252,120,225,274,294,304,#
@,274,130,157,194,226,249,#
@,351,603,447,374,338,310,#
