@,7481387,302,119,215,305,348,363,#
@,7481422,312,145,165,212,256,289,#
@,7481459,279,128,136,162,196,227,#
@,7481495,308,691,603,488,416,373,#
@,7481532,382,719,697,636,573,506,#
@,7481568,351,139,231,341,390,398,#
@,7481605,329,156,173,221,269,306,#
@,7481640,295,139,149,174,207,241,#
@,7481677,248,112,124,142,168,194,#
@,7481714,322,704,616,504,430,374,#
@,7481750,360,674,629,575,519,456,#
@,7481787,293,115,214,304,345,357,#
@,7481823,304,138,163,211,255,285,#
@,7481860,274,126,132,160,194,225,#
@,7481895,289,582,529,439,382,349,#
@,7481932,374,718,678,609,547,483,#
@,7481968,341,134,223,328,374,382,#
@,7482005,311,148,162,208,254,289,#
@,7482041,279,128,138,162,195,228,#
@,7482078,235,107,119,136,160,185,#
@,7482115,310,704,623,507,430,371,#
@,7482150,358,690,653,594,534,468,#
@,7482187,298,116,217,312,352,363,#
@,7482223,308,145,167,215,260,290,#
@,7482260,279,126,140,166,200,230,#
@,7482296,275,480,460,393,353,330,#
@,7482333,371,714,662,585,524,464,#
@,7482369,346,143,229,325,366,371,#
@,7482405,300,134,159,203,246,280,#
@,7482442,269,119,134,158,190,221,#
@,7482478,227,101,112,131,155,179,#
@,7482515,302,698,617,501,424,365,#
@,7482551,354,690,658,599,538,470,#
@,7482588,299,116,215,312,354,364,#
@,7482624,308,144,167,215,260,291,#
@,7482660,278,127,139,165,199,230,#
@,7482696,256,371,386,341,318,306,#
@,7482733,365,714,645,561,500,443,#
@,7482769,346,240,284,348,375,372,#
@,7482806,287,130,170,214,254,283,#
@,7482843,266,121,138,164,197,226,#
@,7482878,229,101,115,135,160,184,#
@,7482915,302,696,620,502,425,367,#
@,7482951,358,699,666,608,546,477,#
@,7482988,307,116,210,312,356,367,#
@,7483024,310,143,167,215,260,292,#
@,7483061,280,131,139,165,199,231,#
@,7483097,240,259,308,286,279,281,#
@,7483133,359,713,627,535,473,420,#
@,7483169,346,323,344,375,386,373,#
@,7483206,275,122,184,231,266,290,#
@,7483243,265,116,142,172,205,233,#
@,7483279,232,101,117,139,165,189,#
@,7483316,304,699,620,501,425,368,#
@,7483352,361,700,675,614,553,484,#
@,7483388,314,118,199,307,355,368,#
@,7483424,312,149,164,212,258,291,#
@,7483461,281,132,139,164,198,229,#
@,7483497,237,145,223,226,236,250,#
@,7483534,350,709,603,506,444,393,#
@,7483570,340,402,395,401,395,372,#
@,7483607,263,112,196,245,276,294,#
@,7483643,262,120,146,180,213,239,#
@,7483679,234,101,117,142,169,193,#
@,7483716,304,701,618,500,423,369,#
@,7483752,363,703,681,621,558,489,#
@,7483789,319,125,205,314,362,373,#
@,7483825,314,151,167,215,261,294,#
@,7483862,283,136,144,167,201,233,#
@,7483897,238,109,154,179,203,227,#
@,7483934,340,705,590,487,425,375,#
@,7483970,338,473,447,432,410,378,#
@,7484007,257,113,206,261,290,304,#
@,7484044,266,118,148,187,222,247,#
@,7484080,240,115,123,147,175,200,#
@,7484116,304,700,617,499,423,370,#
@,7484152,365,706,685,625,562,494,#
@,7484189,328,123,217,323,370,380,#
@,7484225,318,147,171,218,265,299,#
@,7484262,288,136,143,169,203,235,#
@,7484298,241,107,123,149,181,211,#
@,7484335,332,706,600,490,423,370,#
@,7484370,343,541,505,474,439,397,#
@,7484407,261,110,222,282,310,321,#
@,7484444,276,125,158,200,237,262,#
@,7484480,252,113,125,155,184,210,#
@,7484517,314,699,614,497,423,372,#
@,7484553,372,714,689,629,567,499,#
@,7484590,335,129,207,320,370,381,#
@,7484625,319,149,166,213,261,296,#
@,7484662,286,132,145,168,201,234,#
@,7484698,240,105,118,139,170,201,#
@,7484735,326,709,614,500,428,372,#
@,7484772,350,594,554,514,471,419,#
@,7484808,272,108,217,289,323,335,#
@,7484845,287,131,160,204,243,271,#
@,7484880,261,118,129,156,188,216,#
@,7484917,318,706,616,498,423,374,#
@,7484953,377,715,696,636,573,504,#
@,7484990,342,134,220,332,382,391,#
@,7485026,325,152,169,218,266,302,#
@,7485063,293,151,152,175,207,240,#
@,7485099,245,112,123,142,168,198,#
@,7485135,325,705,620,508,433,376,#
@,7485172,359,636,593,547,497,439,#
@,7485208,283,114,206,291,331,345,#
@,7485245,295,129,160,205,247,276,#
@,7485281,267,120,131,157,190,219,#
@,7485318,309,705,612,494,419,372,#
@,7485353,378,721,698,637,574,506,#
@,7485390,348,142,229,341,389,398,#
@,7485426,327,155,171,220,268,305,#
@,7485463,294,137,148,172,206,240,#
@,7485499,247,110,119,139,165,192,#
@,7485536,321,708,616,505,432,374,#
@,7485573,361,669,619,568,514,452,#
@,7485608,289,119,214,301,341,354,#
@,7485645,302,137,164,210,253,283,#
@,7485681,273,124,136,162,195,225,#
@,7485718,294,622,558,460,396,358,#
@,7485754,376,720,687,621,558,493,#
@,7485791,344,137,225,333,380,389,#
@,7485827,318,145,165,212,259,295,#
@,7485863,292,124,223,211,229,254,#
@,7485899,251,112,154,172,192,212,#
@,7485936,331,712,635,525,451,392,#
@,7485973,376,694,653,600,543,479,#
@,7486009,311,125,231,322,364,376,#
@,7486046,323,149,176,225,271,302,#
@,7486082,291,144,150,175,209,240,#
@,7486118,289,519,491,415,370,345,#
@,7486154,381,723,672,599,537,477,#
@,7486191,351,134,221,324,369,377,#
@,7486227,308,142,160,204,249,284,#
@,7486264,275,129,137,160,192,224,#
@,7486300,231,98,114,132,157,181,#
@,7486336,286,686,599,480,402,349,#
@,7486372,353,710,690,627,561,489,#
@,7486408,328,132,219,329,377,383,#
@,7486445,313,142,164,212,260,295,#
@,7486481,283,129,141,165,200,232,#
@,7486518,238,103,115,135,161,189,#
@,7486554,318,702,612,501,428,370,#
@,7486590,355,647,601,552,501,441,#
@,7486626,281,110,205,291,331,344,#
@,7486663,294,133,155,202,245,275,#
@,7486699,265,118,128,154,188,217,#
@,7486736,297,684,600,485,412,367,#
@,7486773,375,719,698,635,571,503,#
@,7486809,346,140,229,340,388,397,#
@,7486845,324,154,168,217,265,302,#
@,7486881,291,139,143,168,203,237,#
@,7486918,244,110,119,138,163,190,#
@,7486954,318,704,619,506,432,374,#
@,7486991,361,679,631,577,521,458,#
@,7487027,292,115,212,303,344,356,#
@,7487064,303,140,160,209,253,284,#
@,7487099,274,124,135,161,194,224,#
@,7487136,285,566,518,431,377,345,#
@,7487173,372,718,673,603,542,479,#
@,7487209,342,136,222,325,371,378,#
@,7487246,308,147,159,205,250,285,#
@,7487282,276,130,136,161,193,225,#
@,7487319,233,101,113,133,157,182,#
@,7487354,308,701,623,506,429,370,#
@,7487391,356,691,651,593,533,466,#
@,7487427,297,115,223,316,356,366,#
@,7487464,311,146,170,219,264,294,#
@,7487501,282,129,140,167,201,232,#
@,7487537,271,453,438,377,343,324,#
@,7487574,371,718,658,578,518,459,#
@,7487609,348,181,249,334,370,372,#
@,7487646,297,136,166,210,252,284,#
@,7487682,271,125,137,163,195,226,#
@,7487719,231,102,111,132,157,182,#
@,7487755,304,697,607,494,419,363,#
@,7487792,354,691,655,595,534,467,#
@,7487827,299,114,212,309,351,361,#
@,7487864,305,140,168,214,259,289,#
@,7487901,277,130,138,163,198,228,#
@,7487937,247,321,352,318,301,295,#
@,7487974,362,717,634,548,487,432,#
@,7488010,347,279,311,359,379,372,#
@,7488047,282,127,176,222,259,286,#
@,7488082,265,119,138,168,200,229,#
@,7488119,230,100,114,135,161,185,#
@,7488155,303,698,619,501,424,367,#
@,7488192,359,698,677,616,552,482,#
@,7488228,310,116,207,312,358,369,#
@,7488265,313,147,168,216,262,294,#
@,7488302,283,129,140,167,201,232,#
@,7488337,240,196,262,255,257,266,#
@,7488374,355,713,609,515,454,403,#
@,7488410,343,373,376,390,391,372,#
@,7488447,270,119,197,244,276,296,#
@,7488483,267,125,147,180,213,240,#
@,7488520,237,107,119,142,170,194,#
@,7488556,307,700,615,498,423,368,#
@,7488592,362,700,670,611,550,483,#
@,7488628,315,118,200,307,355,368,#
@,7488665,313,148,165,212,258,291,#
@,7488702,281,134,137,162,197,229,#
@,7488738,236,116,180,196,213,234,#
@,7488775,342,704,593,493,431,380,#
@,7488811,338,441,421,415,401,373,#
@,7488847,256,108,199,251,281,297,#
@,7488883,262,117,146,182,216,241,#
