@,0,423,421,409,397,403,#
@,1,,399,398,#
@,2,395,389,388,#
@,17,388,396,393,390,386,#
@,47,367,333,349,356,363,#
@,75,348,283,300,312,326,#
@,104,351,359,340,332,330,#
@,135,349,401,381,365,352,#
@,164,339,358,364,361,355,#
@,195,327,284,307,318,327,#
@,225,320,269,279,288,299,#
@,256,322,328,312,305,303,#
@,285,325,378,357,342,327,#
@,316,320,352,353,347,338,#
@,346,310,277,299,310,316,#
@,375,303,247,262,273,285,#
@,406,304,297,286,282,283,#
@,436,309,356,335,320,307,#
@,466,307,349,344,335,323,#
@,496,298,277,297,305,308,#
@,527,290,232,251,264,277,#
@,557,291,264,267,#
@,587,296,337,314,300,289,#
@,617,296,345,336,325,311,#
@,648,289,302,#
@,677,281,225,247,260,272,#
@,707,281,247,247,251,258,#
@,738,287,317,296,284,275,#
@,768,289,343,330,316,302,#
@,798,284,288,301,303,300,#
@,828,275,225,248,262,272,#
@,859,273,230,236,243,252,#
@,888,280,298,280,271,265,#
@,919,285,341,323,308,293,#
@,949,280,300,308,305,299,#
@,979,273,231,254,266,275,#
@,1009,270,219,230,240,250,#
@,1040,270,261,250,248,248,#
@,1072,271,302,286,275,266,#
@,1102,279,328,316,304,289,#
@,1134,284,315,316,311,301,#
@,1165,284,276,289,294,295,#
@,1197,278,239,255,265,274,#
@,1227,269,217,229,239,250,#
@,1259,262,233,232,234,239,#
@,1290,262,276,263,254,249,#
@,1321,268,309,295,283,271,#
@,1352,277,325,317,307,293,#
@,1384,283,305,309,307,300,#
@,1415,281,260,276,283,287,#
@,1446,274,227,243,253,264,#
