@,0,418,422,400,381,#
@,1,394,409,403,391,,#
@,89,11,327,300,309,317,#
@,136,342,387,363,346,#
@,159,315,266,289,303,#
@,183,334,381,357,339,#
@,207,313,273,292,302,#
@,231,319,338,327,319,#
@,254,316,313,314,311,#
@,279,303,285,294,298,#
@,303,318,353,335,321,#
@,327,292,244,267,280,#
@,351,314,362,336,318,#
@,374,290,243,265,277,#
@,399,301,332,315,304,#
@,422,295,283,288,289,#
@,446,288,280,283,284,#
@,471,300,326,312,300,#
@,494,277,232,254,266,#
@,518,298,347,322,304,#
@,542,274,224,249,262,#
@,566,290,329,310,295,#
@,590,280,257,268,272,#
@,614,278,278,278,276,#
@,637,285,303,293,284,#
@,662,267,228,248,258,#
@,686,287,335,310,293,#
@,709,263,213,238,252,#
@,734,284,327,305,289,#
@,757,268,237,251,258,#
@,781,272,282,276,271,#
@,805,275,283,278,272,#
@,829,260,232,246,253,#
@,852,280,322,301,284,#
@,877,256,205,230,244,#
@,901,278,325,300,283,#
@,925,259,217,237,247,#
@,949,268,289,277,269,#
@,972,268,265,266,263,#
@,997,258,239,248,252,#
@,1020,274,309,291,277,#
@,1045,253,212,233,245,#
@,1071,275,313,291,276,#
@,1095,252,208,232,243,#
@,1120,275,315,292,276,#
@,1145,251,206,230,242,#
@,1170,274,316,293,276,#
@,1196,250,204,228,241,#
@,1220,274,317,294,276,#
@,1245,250,202,228,240,#
@,1270,274,318,294,277,#
@,1295,250,201,227,239,#
@,1319,274,319,295,277,#
@,1345,249,200,225,239,#
@,1370,273,320,295,277,#
@,1395,249,199,225,238,#
@,1420,273,320,295,277,#
@,1444,249,197,224,238,#
@,1470,273,320,296,277,#
@,1495,248,198,224,237,#
@,1519,273,320,295,277,#
@,1545,249,198,224,237,#
@,1569,272,319,295,277,#
@,1595,248,197,223,236,#
@,1619,272,319,295,277,#
@,1644,248,197,223,236,#
@,1670,272,320,295,276,#
@,1694,248,197,223,237,#
@,1719,272,318,295,277,#
@,1744,248,197,223,236,#
@,1769,271,319,295,277,#
@,1795,248,197,223,236,#
@,1819,271,317,294,276,#
@,1844,248,199,224,236,#
@,1869,271,318,294,276,#
@,1894,248,197,224,237,#
@,1918,271,316,294,276,#
@,1944,249,198,224,237,#
@,1969,271,316,293,276,#
@,1994,249,199,224,237,#
@,2019,270,315,292,275,#
@,2043,249,199,223,236,#
@,2069,270,,275,#
@,2094,250,201,#
@,2118,270,314,292,275,#
@,2144,250,203,225,237,#
@,2168,269,312,291,274,#
@,2194,250,204,226,238,#
@,2219,268,311,290,274,#
@,2243,251,205,227,238,#
@,2269,267,308,289,273,#
@,2293,251,208,228,238,#
@,2318,267,305,287,272,#
@,2343,252,210,230,239,#
@,2368,265,302,285,271,#
@,2394,252,212,231,240,#
@,2418,265,299,283,270,#
@,2443,253,217,233,241,#
@,2468,264,296,282,270,#
@,2493,254,220,235,242,#
@,2518,264,293,280,269,#
@,2543,255,223,237,243,#
@,2568,263,289,278,267,#
@,2593,255,226,238,244,#
@,2618,262,286,276,266,#
@,2642,256,230,240,245,#
@,2668,262,282,274,265,#
@,2693,256,233,242,246,#
@,2717,261,279,272,264,#
@,2743,257,236,244,246,#
@,2767,260,276,270,262,#
@,2793,257,239,246,248,#
@,2818,259,272,268,261,#
@,2842,257,241,247,248,#
@,2868,259,269,266,260,#
@,2892,258,245,249,249,#
@,2917,258,266,264,259,#
@,2942,258,248,251,250,#
@,2967,257,263,262,258,#
@,2993,259,250,252,251,#
@,3017,256,260,260,256,#
@,3042,259,253,254,252,#
@,3067,256,257,259,255,#
@,3092,260,256,256,253,#
