@,0,416,408,397,#
@,1,406,417,408,#
@,1,405,414,409,#
@,2,404,407,405,#
@,3,400,395,395,#
@,21,390,376,377,#
@,39,368,330,342,#
@,58,339,290,306,#
@,77,316,287,293,#
@,96,307,310,304,#
@,114,316,351,335,#
@,134,340,396,369,#
@,154,350,362,359,#
@,174,334,287,309,#
@,193,307,256,275,#
@,214,299,304,296,#
@,233,315,368,342,#
@,252,333,369,354,#
@,273,328,300,314,#
@,292,266,#
@,312,282,259,264,#
@,331,290,329,307,#
@,352,312,365,340,#
@,371,319,322,322,#
@,391,300,250,272,#
@,411,275,230,246,#
@,431,272,289,275,#
@,450,292,349,321,#
@,470,310,338,327,#
@,490,301,266,283,#
@,509,274,215,240,#
@,529,260,247,247,#
@,549,273,315,292,#
@,569,294,343,320,#
@,588,298,290,295,#
@,609,277,221,245,#
@,628,255,217,229,#
@,648,257,282,265,#
@,667,280,336,309,#
@,688,294,314,307,#
@,707,282,241,261,#
@,727,256,201,224,#
@,747,247,243,239,#
@,766,263,310,286,#
@,786,284,327,308,#
@,806,284,266,276,#
@,826,261,203,227,#
@,845,241,211,219,#
@,865,248,281,261,#
@,885,272,328,301,#
@,905,284,295,292,#
@,924,270,223,245,#
@,945,245,194,214,#
@,964,240,245,237,#
@,984,259,311,280,314,300,#
@,1025,268,223,247,#
@,1045,244,192,213,#
@,1065,253,285,262,#
@,1087,273,321,296,#
@,1107,264,230,249,#
@,1128,242,189,213,#
@,1148,#
@,1170,271,320,265,234,251,#
@,1287,212,#
@,1232,248,2
@,1253,270,322,295,#
@,1274,265,238,253,#
@,1295,242,#
@,1315,246,267,250,#
@,1337,269,322,265,2431378,242,184,211,#
@,1398,244,261,247,#
@,1420,268,322,292,#
@,1440,266,248,259,#
@,1461,241,182,210,#
@,1482,242,254,242,#
@,1503,266,322,291,#
@,1523,267,254,262,#
@,1545,243,182,211,#
@,1565,241,248,239,#
@,1586,264,323,290,#
@,1607,267,259,265,#
@,1628,243,181,211,#
@,1648,239,241,235,#
@,1670,263,321,289,#
@,1690,268,265,268,#
@,1711,243,181,211,#
@,1731,238,235,231,#
@,1753,262,321,288,#
@,1773,268,271,271,#
@,1794,244,181,213,#
@,1815,237,228,228,#
@,1836,260,319,286,#
@,1856,269,276,273,#
@,1878,247,183,215,#
@,1898,236,222,224,#
@,1918,258,317,284,#
@,1940,270,283,277,#
@,1960,248,186,216,#
@,1981,235,216,221,#
@,2002,256,313,281,#
@,2023,270,288,280,#
@,2043,249,190,219,#
@,2064,235,210,218,#
@,2085,278,#
@,2106,270,294,283,#
@,2126,251,193,222,#
@,2148,235,204,215,#
@,2168,252,303,274,#
@,2189,270,299,285,#
@,2210,253,#
@,2231,235,198,213,#
@,2251,250,298,270,#
@,2273,269,304,287,#
@,2293,254,205,230,#
@,2314,235,194,210,#
@,2335,249,293,266,#
@,2356,269,308,288,#
@,2376,2534,#
@,2397,235,190,209,#
@,2418,247,288,239,269,311,290,#
@,2459,257,215,238,#
@,2481,208,#
@,2501,247,283,268,314,290,#
@,2543,258,220,241,#
@,2564,237,185,207,#
@,2584,246,278,255,#
@,2606,291,#
@,2626,259,226,244,#
@,2647,237,183,207,#
@,2668,244,272,252,#
@,2689,267,316,291,#
@,2709,260,231,248,#
@,2729,238,183,208,#
@,2751,243,267,249,#
@,2771,266,319,291,#
@,2792,262,236,251,#
@,2813,239,181,208,261,246,#
@,2854,265,319,290,242,255,#
@,2896,240,181,207,#
@,2917,241,255,242,#
@,2938,26,2959,264,249,258,#
@,2979,240,180,209,#
@,3001,240,250,239,#
@,3021,263,320,289,#
@,3042,265,254,261,#@,3062,241,179,209,#
@,3084,238,#
@,3104,262,320,288,#
@,3125,265,#@,3146,242,179,210,#
@,3167,238,238,233,#
@,,320,288,#
@,3209,267,265,268,#
@3,180,211,#
@,3250,237,232,229,#
@60,319,286,#
@,3292,268,271,271,#
@,3312,245,182,213,#
@,3334,236,226,226,#
@,3318,285,#
@,3375,269,278,274,#
@,3395,246,#@,3417,236,220,223,#
@,3437,257,316,283,#
@,3458,278,#@,3479,249,187,217,#
@,3500,235,21,3520,256,312,280,#
@,3542,270,290,282,250,191,221,#
@,3554,308,277,#
@,3624,270,296,284,#
@,3645,252,196,224,#
@,3203,215,#@,3687,252,302,273,#
@,3301,286,#
@,,202,228,#
@,3749,235,#
@,3770,251,297,269,#
@,3790,278,#
@,3812,255,207,232,#
@,3832,236,194,211,#
@,3853,249,292,265,#
@,3874,269,309,289,#
@,3895,257,212,236,#
@,3915,236,190,209,#
@,3937,248,286,261,#
@,3957,268,313,290,#
@,3978,258,217,239,#
@,3999,237,188,209,#
@,4020,247,281,258,#
@,4040,268,315,291,#
@,4061,259,223,243,#
@,4082,237,185,207,#
@,4103,245,276,255,#
@,4123,267,317,291,#
@,4145,260,228,246,#
@,4165,238,183,207,#
@,4186,244,271,251,#
@,4207,266,318,291,#
@,4228,261,233,249,#
@,4248,238,181,207,#
@,4270,243,266,248,#
@,4290,265,318,290,#
@,4311,262,238,252,#
@,4332,239,181,208,#
@,4353,241,260,244,#
@,4373,265,320,290,#
@,4393,263,243,255,#
@,4415,239,180,208,#
@,4435,241,254,241,#
@,4456,264,320,289,#
@,4477,264,250,258,#
@,4498,240,180,209,#
@,4518,239,249,238,#
@,4540,263,321,289,#
@,4560,265,255,262,#
@,4581,241,179,209,#
@,4602,238,241,234,#
@,4623,262,320,287,#
@,4643,266,261,265,#
@,4665,243,179,210,#
@,4685,237,236,231,#
@,4706,260,320,287,#
@,4727,269,#
@,4748,243,181,212,#
@,4768,237,229,228,#
@,4789,260,319,285,#
@,4810,268,273,272,#
@,4831,245,182,213,#
@,4851,236,223,224,#
@,4873,258,317,284,#
@,4893,269,280,275,#
@,4914,247,185,216,#
@,4935,235,218,221,#
@,4956,257,314,281,#
@,4976,278,#
@,4998,248,188,218,#
@,5018,235,212,218,#
@,5039,255,310,278,#
@,5059,269,291,281,#
@,5081,250,192,221,#
@,5101,235,206,216,#
